work_id,topic_id,topic_name
https://openalex.org/W4388923668,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4388923668,https://openalex.org/T10109,Paleontology and Stratigraphy of Fossils
https://openalex.org/W4388923668,https://openalex.org/T11740,Geochemistry and Elemental Analysis
https://openalex.org/W3012467253,https://openalex.org/T12603,NMR spectroscopy and applications
https://openalex.org/W3012467253,https://openalex.org/T11304,Advanced Neuroimaging Techniques and Applications
https://openalex.org/W3012467253,https://openalex.org/T11809,Advanced NMR Techniques and Applications
https://openalex.org/W3035028305,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W3035028305,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3035028305,https://openalex.org/T11740,Geochemistry and Elemental Analysis
https://openalex.org/W3102597749,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W3102597749,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3102597749,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W3152701421,https://openalex.org/T12603,NMR spectroscopy and applications
https://openalex.org/W3152701421,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3152701421,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W4313367735,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4313367735,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4313367735,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3139415666,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3139415666,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3139415666,https://openalex.org/T10491,Enhanced Oil Recovery Techniques
https://openalex.org/W4388205616,https://openalex.org/T10572,Geophysical and Geoelectrical Methods
https://openalex.org/W4388205616,https://openalex.org/T10033,Concrete and Cement Materials Research
https://openalex.org/W4388205616,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W2945148837,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2945148837,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W2945148837,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W4399072009,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4399072009,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4399072009,https://openalex.org/T10109,Paleontology and Stratigraphy of Fossils
https://openalex.org/W2988910414,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2988910414,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W2988910414,https://openalex.org/T12603,NMR spectroscopy and applications
https://openalex.org/W2944809997,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2944809997,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W2944809997,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W4220873824,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4220873824,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4220873824,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3195908734,https://openalex.org/T10577,Hydrology and Sediment Transport Processes
https://openalex.org/W3195908734,https://openalex.org/T10330,Hydrology and Watershed Management Studies
https://openalex.org/W4283757143,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W4283757143,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
